"","province_city","province","total_cases","latitude","longitude","elementary_school_count","kindergarten_count","university_count","academy_ratio","elderly_population_ratio","elderly_alone_ratio","nursing_home_count","province_avg_temp","province_avg_precip","province_avg_rel_hum"
"89","Gyeonggi-do_Icheon-si","Gyeonggi-do",15,37.272169,127.434991,31,51,2,1.76,13.71,5.8,333,12.7827040194884,1.484287454324,68.8682704019488
"90","Gyeonggi-do_Paju-si","Gyeonggi-do",16,37.759818,126.7799,57,98,1,1.34,13.52,5.3,573,12.7827040194884,1.484287454324,68.8682704019488
"91","Gyeonggi-do_Pyeongtaek-si","Gyeonggi-do",61,36.992293,127.112709,58,108,3,1.39,12.13,5.6,765,12.7827040194884,1.484287454324,68.8682704019488
"92","Gyeonggi-do_Pocheon-si","Gyeonggi-do",19,37.894881,127.200346,31,33,2,0.89,18.92,8.2,209,12.7827040194884,1.484287454324,68.8682704019488
"93","Gyeonggi-do_Hanam-si","Gyeonggi-do",12,37.53926,127.214944,20,34,0,1.16,12.43,4.8,381,12.7827040194884,1.484287454324,68.8682704019488
"94","Gyeonggi-do_Hwaseong-si","Gyeonggi-do",41,37.199536,126.83133,92,167,6,1.72,8.58,3.3,1001,12.7827040194884,1.484287454324,68.8682704019488
"95","Gangwon-do_Gangneung-si","Gangwon-do",9,37.75197,128.875928,34,36,4,1.9,20.46,9.6,347,13.8580998781973,1.45797807551766,55.6282582216809
"96","Gangwon-do_Samcheok-si","Gangwon-do",1,37.449899,129.165365,19,17,0,1.01,24.26,13,94,13.8580998781973,1.45797807551766,55.6282582216809
"97","Gangwon-do_Sokcho-si","Gangwon-do",3,38.207022,128.591861,12,11,0,1.54,18.33,9.7,165,13.8580998781973,1.45797807551766,55.6282582216809
"98","Gangwon-do_Yeongwol-gun","Gangwon-do",1,37.183694,128.461835,13,15,1,0.87,28.54,15.4,56,13.8580998781973,1.45797807551766,55.6282582216809
"99","Gangwon-do_Wonju-si","Gangwon-do",25,37.341963,127.919668,50,71,4,1.71,14.46,6.7,597,13.8580998781973,1.45797807551766,55.6282582216809
"100","Gangwon-do_Inje-gun","Gangwon-do",1,38.069682,128.170335,13,15,0,0.88,19.88,10.4,46,13.8580998781973,1.45797807551766,55.6282582216809
"101","Gangwon-do_Cheorwon-gun","Gangwon-do",11,38.146693,127.3134,16,12,0,1.14,21.8,11.1,70,13.8580998781973,1.45797807551766,55.6282582216809
"102","Gangwon-do_Chuncheon-si","Gangwon-do",10,37.881281,127.730088,40,43,5,1.5,17.1,7.6,472,13.8580998781973,1.45797807551766,55.6282582216809
"103","Gangwon-do_Taebaek-si","Gangwon-do",1,37.16406,128.985736,12,12,1,1.16,23.88,12.8,64,13.8580998781973,1.45797807551766,55.6282582216809
"104","Gangwon-do_Hoengseong-gun","Gangwon-do",1,37.491702,127.985042,16,13,2,0.97,28.22,13.3,69,13.8580998781973,1.45797807551766,55.6282582216809
"105","Chungcheongbuk-do_Goesan-gun","Chungcheongbuk-do",11,36.81534,127.786651,14,15,1,0.36,33.01,16.5,64,13.6487507798342,1.25021698698078,63.7191649208283
"106","Chungcheongbuk-do_Danyang-gun","Chungcheongbuk-do",1,36.984657,128.365476,11,11,0,0.5,29.52,15.8,52,13.6487507798342,1.25021698698078,63.7191649208283
"107","Chungcheongbuk-do_Okcheon-gun","Chungcheongbuk-do",1,36.306367,127.57128,12,17,1,0.63,28.83,14.9,107,13.6487507798342,1.25021698698078,63.7191649208283
"108","Chungcheongbuk-do_Eumseong-gun","Chungcheongbuk-do",7,36.940237,127.690502,21,24,2,0.88,20.33,9.2,169,13.6487507798342,1.25021698698078,63.7191649208283
"109","Chungcheongbuk-do_Jeungpyeong-gun","Chungcheongbuk-do",2,36.785301,127.581481,4,5,0,1.39,16.59,8.7,62,13.6487507798342,1.25021698698078,63.7191649208283
